Team,Name,Line,Pavan,Peter,Neal,Prateek,Piku,Avinash,Logan,Yogen,Samarth,Vinayak
Atlanta Hawks,Hawks,47.5,,,lock,,,,,,,
Boston Celtics,Celtics,46.5,,,,,,,,,,
Brooklyn Nets,Nets,55.5,,,,,,,lock,,lock,lock
Charlotte Hornets,Hornets,38.5,,,,,,,,,,
Chicago Bulls,Bulls,43.5,,,,lock,,,,,lock,
Cleveland Cavaliers,Cavaliers,27.5,,,,,,,,lock,,
Dallas Mavericks,Mavericks,48.5,,,,,,,,,,
Denver Nuggets,Nuggets,47.5,,,,,,,lock,,,
Detroit Pistons,Pistons,25.5,,,,,,,,,,
Golden State Warriors,Warriors,47.5,,,,lock,lock,,,,lock,
Houston Rockets,Rockets,25.5,lock,,,,,lock,,,,
Indiana Pacers,Pacers,42.5,,lock,,,,,,,,
Los Angeles Clippers,Clippers,45.5,,,,,,,,,,
Los Angeles Lakers,Lakers,52.5,,,,,lock,,,,,
Memphis Grizzlies,Grizzlies,41.5,,,,lock,,,,,,
Miami Heat,Heat,48.5,,,,,,,,,,
Milwaukee Bucks,Bucks,54.5,lock,,,,,,,,,
Minnesota Timberwolves,Timberwolves,35.5,,,,,,,,lock,,
New Orleans Pelicans,Pelicans,38.5,,,lock,,lock,lock,,,,
New York Knicks,Knicks,41.5,,,lock,,,,,,,
Oklahoma City Thlock,Thlock,22.5,,,,,,,,,,
Orlando Magic,Magic,22.5,,,,,,,,,,
Philadelphia 76ers,76ers,50.5,,lock,,,,,,lock,,
Phoenix Suns,Suns,51.5,,lock,,,,,,,,lock
Portland Trail Blazers,Trail Blazers,44.5,,,,,,,,,,
Sacramento Kings,Kings,36.5,,,,,,,,,,lock
San Antonio Spurs,Spurs,29.5,,,,,,lock,,,,
Toronto Raptors,Raptors,36.5,,,,,,,,,,
Utah Jazz,Jazz,53.5,lock,,,,,,lock,,,
Washington Wizards,Wizards,34.5,,,,,,,,,,